[Fe/H]|RAJ2000|DEJ2000|Dist|deg
247.79687990000|+32.99214981000|-1.001|247.796879900|+32.992149810| 2.9671
247.64079440000|+34.19865386000|-1.578|247.640794400|+34.198653860| 1.7743
229.38712450000|+52.50476784000|-1.687|229.387124500|+52.504767840| 2.5921
165.21312420000|+52.52943606000|-1.362|165.213124200|+52.529436060| 3.3180
242.09861140000|+37.24335130000|-2.034|242.098611400|+37.243351300| 1.5458
135.55110150000|+46.15790590000|-1.627|135.551101500|+46.157905900| 2.6743
141.22395990000|+37.91940518000|-2.165|141.223959900|+37.919405180| 3.3083
177.53386180000|+50.28449231000|-1.166|177.533861800|+50.284492310| 1.4477
141.58721960000|+38.66429948000|-1.458|141.587219600|+38.664299480| 1.6301
131.90407560000|+29.98265948000|-0.416|131.904075600|+29.982659480| 2.5752
161.22712140000|+41.09127019000|-1.214|161.227121400|+41.091270190| 2.5059
156.25711330000|+42.43432372000|-1.394|156.257113300|+42.434323720| 1.8009
243.49866660000|+37.77146131000|-0.474|243.498666600|+37.771461310| 3.5912
183.51030520000|+11.19894447000|-1.110|183.510305200|+11.198944470| 1.9475
159.37795640000|+41.75097810000|-2.116|159.377956400|+41.750978100| 1.2128
166.76633310000|+05.98715090600|-1.958|166.766333100|+05.987150906| 2.9335
159.74425780000|+38.70988318000|-1.183|159.744257800|+38.709883180| 2.8550
159.89313220000|+38.69040320000|-1.275|159.893132200|+38.690403200| 3.5285
151.41288930000|+36.09747615000|-0.935|151.412889300|+36.097476150| 3.7790
249.85767320000|+26.43589675000|-1.345|249.857673200|+26.435896750| 1.8221
177.45139840000|+45.44597216000|-2.123|177.451398400|+45.445972160| 1.9481
234.52614660000|+33.59872189000|-0.320|234.526146600|+33.598721890| 2.9961
234.60004740000|+06.32526379300|-1.921|234.600047400|+06.325263793| 2.1925
191.28845430000|+07.62001053700|-1.443|191.288454300|+07.620010537| 2.1806
191.43618620000|+07.48685853700|-0.750|191.436186200|+07.486858537| 2.7856
132.67539420000|+31.51886366000|-1.277|132.675394200|+31.518863660| 1.7862
203.63856390000|+39.00341688000|-1.377|203.638563900|+39.003416880| 2.7193
233.28984260000|+07.10235390500|-0.890|233.289842600|+07.102353905| 1.3002
181.59590990000|+56.79588638000|-1.643|181.595909900|+56.795886380| 2.9721
041.53072131000|+00.43839545300|-1.175|041.530721310|+00.438395453| 3.5777
041.84963104000|+00.54971275100|-0.750|041.849631040|+00.549712751| 2.2617
250.72614510000|+25.44790034000|-1.353|250.726145100|+25.447900340| 1.4037
220.63717040000|+09.56247953100|-1.823|220.637170400|+09.562479531| 2.1277
233.27184940000|+05.32968051400|-1.463|233.271849400|+05.329680514| 1.9559
040.91838420000|+00.52974180200|-1.100|040.918384200|+00.529741802| 0.9838
235.78410780000|+31.89202264000|-1.455|235.784107800|+31.892022640| 1.8876
241.13816540000|+05.91814961100|-2.409|241.138165400|+05.918149611| 1.0461
240.72508650000|+05.67268141400|-1.390|240.725086500|+05.672681414| 2.7526
240.30474010000|+06.17672705500|-2.084|240.304740100|+06.176727055| 2.4840
316.79707610000|-00.31025860300|-2.089|316.797076100|-00.310258603| 0.9876
240.39621380000|+06.59086799300|-0.911|240.396213800|+06.590867993| 0.9356
002.44650787300|+00.85807280000|-1.858|002.446507873|+00.858072800| 1.7973
318.21661850000|-00.23094130600|-1.637|318.216618500|-00.230941306| 1.8665
240.29324050000|+05.12007155500|-1.333|240.293240500|+05.120071555| 3.0386
316.58282050000|-00.61136765700|-2.043|316.582820500|-00.611367657| 1.3320
334.32975090000|+00.11953697500|-0.714|334.329750900|+00.119536975| 1.7181
247.96240860000|+32.21096142000|-2.374|247.962408600|+32.210961420| 2.3094
041.20868522000|-00.69698919700|-1.945|041.208685220|-00.696989197| 3.2912
042.92387616000|-00.63435617700|-1.425|042.923876160|-00.634356177| 3.5313
356.02377050000|-00.39631149200|-1.312|356.023770500|-00.396311492| 3.3528
